transaction_id,timestamp,amount,device_novelty,transaction_velocity,location_deviation,merchant_history_score,customer_tenure_days,payment_method,ip_reputation_score,category_tag,ground_truth_label
4f875195-4e60-ecaa-9e59-e17bc4e562cd,2026-07-24T17:17:22.491835Z,81566.27,0.3226,2,0.2252,0.0105,1080,UPI,0.8921,legitimate_but_unusual,legitimate
0cc88552-a714-40af-81ee-53cf53867e16,2026-08-01T01:58:08.405063Z,1219.68,0.1541,0,0.0434,0.0147,1161,netbanking,0.898,normal,legitimate
d746f822-0763-49ee-06dd-d1a623772f20,2026-08-21T23:38:53.825369Z,1182.82,0.0322,0,0.1957,0.0667,278,card,0.8855,normal,legitimate
5d9909a9-f5e7-9dd4-5fed-adc3072a9711,2026-08-13T05:20:54.580357Z,146.07,0.2019,2,0.0347,0.0228,867,UPI,0.9721,normal,legitimate
34b4995b-12ef-866a-385d-d7a518e575c2,2026-08-21T00:50:37.418685Z,705.91,0.1275,0,0.2089,0.0177,818,netbanking,0.9591,normal,legitimate
add3e013-cdff-c347-7fbd-546803ddf9af,2026-08-20T14:11:24.576236Z,2415.26,0.0851,0,0.04,0.0667,323,card,0.8593,normal,legitimate
bc062197-6005-51be-b7ea-23820222a89c,2026-08-13T14:51:53.614168Z,3454.14,0.115,0,0.0777,0.082,1108,card,0.9844,normal,legitimate
5e77ca3d-9fe9-88a3-c7dd-fbb428cd4ce0,2026-08-18T15:22:40.091511Z,440.84,0.8071,0,0.8227,0.1309,247,card,0.8075,borderline,fraud
8872db6a-3dd1-1d7c-a40e-dc38e07c43b1,2026-07-25T20:32:38.596952Z,1010.14,0.1954,0,0.0632,0.0082,424,UPI,0.9244,normal,legitimate
2fd5f0f4-663b-9762-1b4a-1a80ff63a6dd,2026-08-21T17:44:29.198762Z,56.77,0.1415,0,0.184,0.0552,1099,UPI,0.8803,normal,legitimate
41aa00ee-a9aa-d59f-2cfa-e0ce3da6ae4b,2026-07-25T18:02:07.339254Z,642.45,0.169,1,0.1607,0.0253,1148,wallet,0.8766,normal,legitimate
093cfb95-e35d-49d2-c7d5-f19f3506fe8d,2026-08-21T03:07:55.712663Z,387.79,0.2325,0,0.0983,0.0064,646,UPI,0.875,normal,legitimate
a8ef6de4-77f6-30fd-7ecc-712ffe144da0,2026-08-17T08:47:09.030381Z,1837.39,0.0577,0,0.1324,0.0626,169,UPI,0.879,normal,legitimate
2681a201-c127-7131-df54-7b490c768715,2026-08-05T18:44:42.672836Z,1377.3,0.0055,0,0.0028,0.0628,682,UPI,0.9971,normal,legitimate
678e0ee8-6768-a13a-b20f-ce9f262cf88a,2026-08-01T12:16:44.074107Z,377.21,0.0723,0,0.2369,0.0882,455,card,0.9283,normal,legitimate
7a6f2985-317d-ca4e-0b91-28dac0a7fed0,2026-07-30T15:06:01.555792Z,359.26,0.0646,1,0.0814,0.0352,328,UPI,0.8869,normal,legitimate
ab572e3a-6538-c103-d9f7-bc120aad4996,2026-08-09T18:08:53.080692Z,788.08,0.0684,0,0.0888,0.0315,210,card,0.861,normal,legitimate
ded6a7ef-355a-1ed8-3902-2fb2429515ee,2026-07-27T02:53:13.460028Z,208.41,0.0417,0,0.17,0.024,474,UPI,0.9328,normal,legitimate
1a62cf82-b052-fbac-ce02-e5a8a49b1539,2026-08-05T10:24:30.248676Z,541.41,0.8699,1,0.859,0.1607,533,UPI,0.6064,borderline,fraud
ffeaf0b5-d234-0a62-60fe-b127193f2583,2026-08-20T20:38:28.425393Z,1000.0,0.9983,5,0.9207,0.4938,37,wallet,0.2339,fraud,fraud
139ad6fc-bb83-3d81-9798-440a31be158b,2026-08-07T20:25:45.329203Z,301.89,0.1477,0,0.0925,0.1029,724,UPI,0.9053,normal,legitimate
793981ef-cddc-a8e2-5829-dec83d0f3e9e,2026-08-09T05:34:46.205563Z,1217.46,0.0527,1,0.7784,0.1591,177,card,0.5536,borderline,fraud
c050e7d6-6234-2d6f-b637-941f706c4db1,2026-08-06T08:07:43.986359Z,1050.88,0.1383,0,0.2306,0.7998,430,UPI,0.9239,merchant_anomaly,legitimate
a22357a2-2031-f707-d3e2-52207c6b42bd,2026-08-16T09:55:32.537700Z,677.98,0.0773,0,0.2011,0.0425,781,netbanking,0.8849,normal,legitimate
f0e18dfe-63df-1bbb-274c-2559795470c9,2026-08-14T19:39:06.548705Z,1028.51,0.2034,6,0.3352,0.0074,1444,UPI,0.9785,legitimate_but_unusual,legitimate
971818e3-35d8-8d67-77ec-a5c7a0e644e3,2026-07-26T14:25:27.329003Z,180.27,0.0731,1,0.079,0.0052,81,UPI,0.9064,normal,legitimate
8f17b288-5d6d-c3fd-2719-63240159ecd1,2026-08-18T12:17:00.251375Z,1805.41,0.0137,0,0.0553,0.0073,1193,UPI,0.9059,normal,legitimate
0d726fa4-020e-31b9-d73e-9a10e4bea81a,2026-08-13T23:20:09.208768Z,1036.4,0.0387,0,0.0712,0.0963,273,UPI,0.9462,normal,legitimate
0183dffc-3f45-4846-22b7-ed220611d898,2026-08-10T17:50:13.316511Z,402.64,0.1875,0,0.2335,0.0872,434,UPI,0.8904,normal,legitimate
f803940b-bd5e-0ff6-27d9-4853d45e33d8,2026-07-25T03:02:57.514390Z,934.24,0.0228,0,0.0326,0.0982,889,UPI,0.9068,normal,legitimate
a5965533-afff-bc39-f823-d97dbbdb2b29,2026-08-06T14:06:00.027303Z,191.72,0.1952,1,0.2492,0.0334,948,UPI,0.9885,normal,legitimate
0465f9b9-02c2-a6e1-c041-e7fd83972447,2026-08-13T18:10:17.610881Z,845.33,0.1237,0,0.0146,0.0092,541,UPI,0.8572,normal,legitimate
ecf65b44-2085-e1bb-05e5-ede0d7507185,2026-08-05T12:27:47.902221Z,3358.61,0.0136,0,0.0687,0.0897,1113,UPI,0.9905,normal,legitimate
df330915-6f99-c083-dbac-c5f7505d1ee6,2026-08-13T06:36:53.692274Z,248.67,0.2288,1,0.1829,0.0001,1038,UPI,0.9176,normal,legitimate
b89bb1a6-1649-7d6f-af2c-f59e7fa3c693,2026-08-16T09:18:57.130016Z,1259.68,0.1639,0,0.0281,0.0353,892,wallet,0.9933,normal,legitimate
96083835-54ec-1ed9-92d0-ca066f4e6e1f,2026-08-02T23:17:35.965802Z,310.45,0.1284,0,0.23,0.0318,164,UPI,0.9635,normal,legitimate
e31f49c8-6554-777d-d100-14efe212261c,2026-07-30T07:01:52.610420Z,798.9,0.8017,5,0.126,0.0255,350,card,0.5361,borderline,legitimate
